_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
64,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2014-05-15T00:00:00,"","","",Grab,Sampler 3,10:05:00,20.8,5.8,7.7,44500,1,28.7,"","","","","",<3,"",6,<0.005,<0.005,"",0.35,"",0.35
65,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2014-05-15T00:00:00,"","","",Grab,Sampler 3,09:31:00,21,7.7,7.7,43000,1,27.6,100 EST,100 EST,16,7.5,1.1,<3,8,4,<0.005,<0.005,0.063,0.41,0.11,0.41
66,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2014-05-15T00:00:00,"","","",Grab,Sampler 3,09:38:00,20.9,8.2,7.7,43300,1,27.8,"","","","","",<3,"",8,<0.005,<0.005,"",0.39,"",0.39
67,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2014-05-15T00:00:00,"","","",Grab,Sampler 3,08:55:00,21.1,5.8,7.5,40400,1,25.7,38,38,18,4.3,1,<3,9,7,0.014,0.026,0.074,0.41,0.11,0.38
68,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2014-05-15T00:00:00,"","","",Grab,Sampler 3,09:00:00,21.1,5.9,7.5,40700,1,26,"","","","","",<3,"",7,0.016,0.023,"",0.45,"",0.43
69,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2014-05-15T00:00:00,"","","",Grab,Sampler 3,08:34:00,21,6,7.3,37600,1,23.8,35,45,18,2.1,1,<3,3,6,0.035,0.052,0.057,0.39,0.08,0.34
70,North Pine Mid-Field Monitoring,MFMP 8 - 1.5m,16,2014-05-15T00:00:00,"","","",Grab,Sampler 3,08:38:00,21,5.5,7.3,37700,1,23.9,"","","","","",<3,"",5,0.037,0.051,"",0.37,"",0.32
71,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2014-05-15T00:00:00,"","","",Grab,Sampler 3,13:05:00,25.3,8.2,7.6,900,"",0.4,1 EST,10,<1,2.1,1,<3,<2,5,0.028,0.051,0.81,1.06,0.9,1.01
72,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-06-18T00:00:00,"","","",Grab,Sampler 2,08:32:00,17.6,7.3,7.6,47200,0.95,30.5,37,37,4 EST,4.3,1,<3,10,15,0.033,0.033,0.056,0.45,0.08,0.41
73,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-06-18T00:00:00,"","","",Grab,Sampler 2,08:32:00,17.5,6.3,7.6,48300,0.95,29.4,"","","","","",<3,"",12,0.024,0.03,"",0.41,"",0.38
